timestamp,location,serial,power,cadence,front,rear
2023-04-28T19:54:43.270592,wheel,19005,177.3,91.0,54,4
2023-04-28T19:54:43.520300,wheel,19005,178.0,91.0,54,4
2023-04-28T19:54:43.757453,crank,52853,195.9,91.8,54,4
2023-04-28T19:54:44.019691,wheel,19005,178.0,91.0,54,4
2023-04-28T19:54:44.519163,wheel,19005,177.5,90.0,54,4
2023-04-28T19:54:45.255643,crank,52853,187.6,92.2,54,4
2023-04-28T19:54:45.517836,wheel,19005,176.6,91.0,54,4
2023-04-28T19:54:46.004741,crank,52853,184.7,91.6,54,4
2023-04-28T19:54:46.017461,wheel,19005,175.1,91.0,54,4
2023-04-28T19:54:46.254223,crank,52853,183.3,91.2,54,4
2023-04-28T19:54:46.516628,wheel,19005,174.6,91.0,54,4
2023-04-28T19:54:47.003335,crank,52853,192.7,91.2,54,4
2023-04-28T19:54:47.015986,wheel,19005,173.9,91.0,54,4
2023-04-28T19:54:48.252320,crank,52853,206.2,91.8,54,4
2023-04-28T19:54:48.514152,wheel,19005,187.2,91.0,54,4
2023-04-28T19:54:49.000974,crank,52853,193.8,93.0,54,4
2023-04-28T19:54:49.013652,wheel,19005,184.2,91.0,54,4
2023-04-28T19:54:49.512947,wheel,19005,181.2,90.0,54,4
2023-04-28T19:54:49.999715,crank,52853,188.8,92.3,54,4
2023-04-28T19:54:50.012339,wheel,19005,179.0,90.0,54,4
2023-04-28T19:54:50.998776,crank,52853,202.3,92.3,54,4
2023-04-28T19:54:51.497913,crank,52853,187.4,93.0,54,4
2023-04-28T19:54:52.246997,crank,52853,187.1,91.9,54,4
2023-04-28T19:54:52.509381,wheel,19005,176.8,91.0,54,4
2023-04-28T19:54:53.246014,crank,52853,207.5,91.8,54,4
2023-04-28T19:54:53.508048,wheel,19005,185.8,91.0,54,4
2023-04-28T19:54:53.745237,crank,52853,221.1,93.0,54,4
2023-04-28T19:54:54.257134,wheel,19005,199.4,91.0,54,4
2023-04-28T19:54:54.744182,crank,52853,227.9,93.3,54,4
2023-04-28T19:54:55.493347,crank,52853,207.1,94.5,54,4
2023-04-28T19:54:55.505735,wheel,19005,200.5,91.0,54,4
2023-04-28T19:54:55.992511,crank,52853,193.8,94.3,54,4
2023-04-28T19:54:56.504360,wheel,19005,190.1,93.0,54,4
2023-04-28T19:54:56.741615,crank,52853,195.5,93.8,54,4
2023-04-28T19:54:57.003891,wheel,19005,185.1,93.0,54,4
2023-04-28T19:54:57.490705,crank,52853,196.5,93.4,54,4
2023-04-28T19:54:57.503136,wheel,19005,184.3,93.0,54,4
2023-04-28T19:54:58.002518,wheel,19005,185.2,93.0,54,4
2023-04-28T19:54:58.239819,crank,52853,207.9,93.2,54,4
2023-04-28T19:54:58.988907,crank,52853,219.7,94.7,54,4
2023-04-28T19:54:59.239132,crank,52853,206.8,94.7,54,4
2023-04-28T19:54:59.251199,wheel,19005,188.0,93.0,54,4
2023-04-28T19:54:59.500701,wheel,19005,187.1,93.0,54,4
2023-04-28T19:54:59.988185,crank,52853,189.5,95.7,54,4
2023-04-28T19:55:00.487124,crank,52853,196.6,93.4,54,4
2023-04-28T19:55:00.499670,wheel,19005,186.4,92.0,54,4
2023-04-28T19:55:01.236437,crank,52853,208.8,92.3,54,4
2023-04-28T19:55:01.985559,crank,52853,205.8,96.0,54,4
2023-04-28T19:55:01.997706,wheel,19005,185.1,93.0,54,4
2023-04-28T19:55:02.734625,crank,52853,204.0,94.3,54,4
2023-04-28T19:55:02.984130,crank,52853,211.5,93.9,54,4
2023-04-28T19:55:03.733223,crank,52853,210.5,94.7,54,4
2023-04-28T19:55:03.745474,wheel,19005,185.2,93.0,54,4
2023-04-28T19:55:04.482341,crank,52853,215.8,94.6,54,4
2023-04-28T19:55:04.494549,wheel,19005,190.8,93.0,54,4
2023-04-28T19:55:04.981952,crank,52853,214.8,95.4,54,4
2023-04-28T19:55:05.243651,wheel,19005,196.9,93.0,54,4
2023-04-28T19:55:05.731058,crank,52853,203.5,95.0,54,4
2023-04-28T19:55:06.242423,wheel,19005,190.3,94.0,54,4
2023-04-28T19:55:06.729642,crank,52853,202.0,94.7,54,4
2023-04-28T19:55:06.979340,crank,52853,204.9,94.7,54,4
2023-04-28T19:55:06.991518,wheel,19005,187.5,94.0,54,4
2023-04-28T19:55:07.478751,crank,52853,201.7,94.5,54,4
2023-04-28T19:55:07.490898,wheel,19005,187.2,94.0,54,4
2023-04-28T19:55:07.990556,wheel,19005,186.9,94.0,54,4
2023-04-28T19:55:08.227859,crank,52853,200.3,94.3,54,4
2023-04-28T19:55:08.489683,wheel,19005,186.3,94.0,54,4
2023-04-28T19:55:08.976912,crank,52853,201.5,94.9,54,4
2023-04-28T19:55:09.726039,crank,52853,200.3,94.3,54,4
2023-04-28T19:55:09.987848,wheel,19005,186.0,92.0,54,4
2023-04-28T19:55:10.475116,crank,52853,208.9,94.5,54,4
2023-04-28T19:55:10.487221,wheel,19005,186.0,92.0,54,4
2023-04-28T19:55:10.986712,wheel,19005,186.0,93.0,54,4
2023-04-28T19:55:11.224230,crank,52853,212.6,94.6,54,4
2023-04-28T19:55:11.486122,wheel,19005,193.8,93.0,54,4
